edge_id,child_lemma,parent_lemma,child_term,parent_term,doc_id,chunk_id,confidence,evidence_json,raw_json
30,arraytaskid,jobid,ArrayTaskId,JobId,doc_4d9f,doc_4d9f_chunk_0007,0.9,"{""child_lemma"": ""arraytaskid"", ""parent_lemma"": ""jobid"", ""reason"": ""ArrayTaskId is a specific type of JobId assigned to each task of a job array."", ""confidence"": 0.9, ""raw_item"": {""child"": ""arraytaskid"", ""parent"": ""jobid"", ""confidence"": 0.9, ""reason"": ""ArrayTaskId is a specific type of JobId assigned to each task of a job array.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""arrayjobid"",
      ""parent"": ""jobid"",
      ""confidence"": 0.9,
      ""reason"": ""ArrayJobId is a specific type of JobId used for job arrays.""
    },
    {
      ""child"": ""arraytaskid"",
      ""parent"": ""jobid"",
      ""confidence"": 0.9,
      ""reason"": ""ArrayTaskId is a specific type of JobId assigned to each task of a job array.""
    },
    {
      ""child"": ""job array"",
      ""parent"": ""job"",
      ""confidence"": 0.95,
      ""reason"": ""A job array is a specialised job that manages multiple tasks with a single ArrayJobId.""
    }
  ]
}"
31,new plugin,plugin,new plugin,plugin,doc_4ff0,doc_4ff0_chunk_0001,0.9,"{""child_lemma"": ""new plugin"", ""parent_lemma"": ""plugin"", ""reason"": ""A new plugin is a specific instance of a plugin."", ""confidence"": 0.9, ""raw_item"": {""child"": ""new plugin"", ""parent"": ""plugin"", ""confidence"": 0.9, ""reason"": ""A new plugin is a specific instance of a plugin.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""new plugin"",
      ""parent"": ""plugin"",
      ""confidence"": 0.9,
      ""reason"": ""A new plugin is a specific instance of a plugin.""
    },
    {
      ""child"": ""src/plugins/topology/4d_torus"",
      ""parent"": ""new directory"",
      ""confidence"": 0.9,
      ""reason"": ""A new directory for a plugin is a specific type of new directory.""
    },
    {
      ""child"": ""src/plugins/topology/makefile.am"",
      ""parent"": ""makefile.am"",
      ""confidence"": 0.9,
      ""reason"": ""A Makefile.am file for a plugin is a specific instance of a Makefile.am.""
    }
  ]
}"
32,src/plugins/topology/makefile.am,makefile.am,src/plugins/topology/Makefile.am,Makefile.am,doc_4ff0,doc_4ff0_chunk_0001,0.9,"{""child_lemma"": ""src/plugins/topology/makefile.am"", ""parent_lemma"": ""makefile.am"", ""reason"": ""A Makefile.am file for a plugin is a specific instance of a Makefile.am."", ""confidence"": 0.9, ""raw_item"": {""child"": ""src/plugins/topology/makefile.am"", ""parent"": ""makefile.am"", ""confidence"": 0.9, ""reason"": ""A Makefile.am file for a plugin is a specific instance of a Makefile.am.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""new plugin"",
      ""parent"": ""plugin"",
      ""confidence"": 0.9,
      ""reason"": ""A new plugin is a specific instance of a plugin.""
    },
    {
      ""child"": ""src/plugins/topology/4d_torus"",
      ""parent"": ""new directory"",
      ""confidence"": 0.9,
      ""reason"": ""A new directory for a plugin is a specific type of new directory.""
    },
    {
      ""child"": ""src/plugins/topology/makefile.am"",
      ""parent"": ""makefile.am"",
      ""confidence"": 0.9,
      ""reason"": ""A Makefile.am file for a plugin is a specific instance of a Makefile.am.""
    }
  ]
}"
33,architecture of the slurm workload manager,job scheduling strategies for parallel processing,Architecture of the Slurm Workload Manager,Job Scheduling Strategies for Parallel Processing,doc_5755,doc_5755_chunk_0009,0.9,"{""child_lemma"": ""architecture of the slurm workload manager"", ""parent_lemma"": ""job scheduling strategies for parallel processing"", ""reason"": ""The architecture of the Slurm Workload Manager is a specific strategy for job scheduling in parallel processing."", ""confidence"": 0.9, ""raw_item"": {""child"": ""architecture of the slurm workload manager"", ""parent"": ""job scheduling strategies for parallel processing"", ""confidence"": 0.9, ""reason"": ""The architecture of the Slurm Workload Manager is a specific strategy for job scheduling in parallel processing.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""architecture of the slurm workload manager"",
      ""parent"": ""job scheduling strategies for parallel processing"",
      ""confidence"": 0.9,
      ""reason"": ""The architecture of the Slurm Workload Manager is a specific strategy for job scheduling in parallel processing.""
    }
  ]
}"
34,scontrol requeue,scontrol command,scontrol requeue,scontrol command,doc_5755,doc_5755_chunk_0023,0.9,"{""child_lemma"": ""scontrol requeue"", ""parent_lemma"": ""scontrol command"", ""reason"": ""scontrol requeue is a specific command used to requeue jobs in Slurm."", ""confidence"": 0.9, ""raw_item"": {""child"": ""scontrol requeue"", ""parent"": ""scontrol command"", ""confidence"": 0.9, ""reason"": ""scontrol requeue is a specific command used to requeue jobs in Slurm.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""scontrol requeue"",
      ""parent"": ""scontrol command"",
      ""confidence"": 0.9,
      ""reason"": ""scontrol requeue is a specific command used to requeue jobs in Slurm.""
    },
    {
      ""child"": ""pending state"",
      ""parent"": ""job_state"",
      ""confidence"": 0.95,
      ""reason"": ""Pending state is a specific job state that a job can be requeued back to.""
    }
  ]
}"
35,epilogslurmctld,epilog,EpilogSlurmctld,Epilog,doc_5755,doc_5755_chunk_0049,0.9,"{""child_lemma"": ""epilogslurmctld"", ""parent_lemma"": ""epilog"", ""reason"": ""EpilogSlurmctld is a specific implementation of the Epilog concept, executed by Slurmctld."", ""confidence"": 0.9, ""raw_item"": {""child"": ""epilogslurmctld"", ""parent"": ""epilog"", ""confidence"": 0.9, ""reason"": ""EpilogSlurmctld is a specific implementation of the Epilog concept, executed by Slurmctld.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""epilogslurmctld"",
      ""parent"": ""epilog"",
      ""confidence"": 0.9,
      ""reason"": ""EpilogSlurmctld is a specific implementation of the Epilog concept, executed by Slurmctld.""
    }
  ]
}"
36,bulk_launch_tmpfile1_host_lines,launch string,bulk_launch_tmpfile1_host_lines,launch string,doc_5755,doc_5755_chunk_0063,0.9,"{""child_lemma"": ""bulk_launch_tmpfile1_host_lines"", ""parent_lemma"": ""launch string"", ""reason"": ""bulk_launch_tmpfile1_host_lines is a specific part of the launch string used to list hostnames."", ""confidence"": 0.9, ""raw_item"": {""child"": ""bulk_launch_tmpfile1_host_lines"", ""parent"": ""launch string"", ""confidence"": 0.9, ""reason"": ""bulk_launch_tmpfile1_host_lines is a specific part of the launch string used to list hostnames.""}}","{""is_a_edges"": [{""child"": ""bulk_launch_tmpfile1_host_lines"", ""parent"": ""launch string"", ""confidence"": 0.9, ""reason"": ""bulk_launch_tmpfile1_host_lines is a specific part of the launch string used to list hostnames.""}]}"
37,quality of service,qos,Quality Of Service,QOS,doc_5d35,doc_5d35_chunk_0001,0.9,"{""child_lemma"": ""quality of service"", ""parent_lemma"": ""qos"", ""reason"": ""Quality of Service (QOS) is a specific type of QOS used for scheduling jobs."", ""confidence"": 0.9, ""raw_item"": {""child"": ""quality of service"", ""parent"": ""qos"", ""confidence"": 0.9, ""reason"": ""Quality of Service (QOS) is a specific type of QOS used for scheduling jobs.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""heterogeneous jobs"",
      ""parent"": ""job"",
      ""confidence"": 0.9,
      ""reason"": ""Heterogeneous jobs are a type of job that can have multiple components with different resource specifications.""
    },
    {
      ""child"": ""quality of service"",
      ""parent"": ""qos"",
      ""confidence"": 0.9,
      ""reason"": ""Quality of Service (QOS) is a specific type of QOS used for scheduling jobs.""
    },
    {
      ""child"": ""slurm"",
      ""parent"": ""scheduler"",
      ""confidence"": 0.95,
      ""reason"": ""Slurm is a specific type of scheduler that supports heterogeneous jobs.""
    }
  ]
}"
38,job-specific burst buffer,burst buffer,job-specific burst buffer,burst buffer,doc_5d35,doc_5d35_chunk_0003,0.9,"{""child_lemma"": ""job-specific burst buffer"", ""parent_lemma"": ""burst buffer"", ""reason"": ""A job-specific burst buffer is a burst buffer associated with a specific job component."", ""confidence"": 0.9, ""raw_item"": {""child"": ""job-specific burst buffer"", ""parent"": ""burst buffer"", ""confidence"": 0.9, ""reason"": ""A job-specific burst buffer is a burst buffer associated with a specific job component.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""job component"",
      ""parent"": ""job"",
      ""confidence"": 0.9,
      ""reason"": ""A job component is a part of a heterogeneous job.""
    },
    {
      ""child"": ""job-specific burst buffer"",
      ""parent"": ""burst buffer"",
      ""confidence"": 0.9,
      ""reason"": ""A job-specific burst buffer is a burst buffer associated with a specific job component.""
    },
    {
      ""child"": ""persistent burst buffer"",
      ""parent"": ""burst buffer"",
      ""confidence"": 0.9,
      ""reason"": ""A persistent burst buffer can be accessed by all components of a heterogeneous job.""
    }
  ]
}"
39,persistent burst buffer,burst buffer,persistent burst buffer,burst buffer,doc_5d35,doc_5d35_chunk_0003,0.9,"{""child_lemma"": ""persistent burst buffer"", ""parent_lemma"": ""burst buffer"", ""reason"": ""A persistent burst buffer can be accessed by all components of a heterogeneous job."", ""confidence"": 0.9, ""raw_item"": {""child"": ""persistent burst buffer"", ""parent"": ""burst buffer"", ""confidence"": 0.9, ""reason"": ""A persistent burst buffer can be accessed by all components of a heterogeneous job.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""job component"",
      ""parent"": ""job"",
      ""confidence"": 0.9,
      ""reason"": ""A job component is a part of a heterogeneous job.""
    },
    {
      ""child"": ""job-specific burst buffer"",
      ""parent"": ""burst buffer"",
      ""confidence"": 0.9,
      ""reason"": ""A job-specific burst buffer is a burst buffer associated with a specific job component.""
    },
    {
      ""child"": ""persistent burst buffer"",
      ""parent"": ""burst buffer"",
      ""confidence"": 0.9,
      ""reason"": ""A persistent burst buffer can be accessed by all components of a heterogeneous job.""
    }
  ]
}"
40,heterogeneous job components,job,heterogeneous job components,job,doc_5d35,doc_5d35_chunk_0014,0.9,"{""child_lemma"": ""heterogeneous job components"", ""parent_lemma"": ""job"", ""reason"": ""Each component of a heterogeneous job counts as a 'job' with respect to resource limits."", ""confidence"": 0.9, ""raw_item"": {""child"": ""heterogeneous job components"", ""parent"": ""job"", ""confidence"": 0.9, ""reason"": ""Each component of a heterogeneous job counts as a 'job' with respect to resource limits.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""heterogeneous job components"",
      ""parent"": ""job"",
      ""confidence"": 0.9,
      ""reason"": ""Each component of a heterogeneous job counts as a 'job' with respect to resource limits.""
    }
  ]
}"
41,prep_p_epilog_slurmctld,prep_p_epilog,prep_p_epilog_slurmctld,prep_p_epilog,doc_61ca,doc_61ca_chunk_0003,0.9,"{""child_lemma"": ""prep_p_epilog_slurmctld"", ""parent_lemma"": ""prep_p_epilog"", ""reason"": ""prep_p_epilog_slurmctld is a specific implementation of the prep_p_epilog function within the slurmctld"", ""confidence"": 0.9, ""raw_item"": {""child"": ""prep_p_epilog_slurmctld"", ""parent"": ""prep_p_epilog"", ""confidence"": 0.9, ""reason"": ""prep_p_epilog_slurmctld is a specific implementation of the prep_p_epilog function within the slurmctld""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""prep_p_epilog_slurmctld"",
      ""parent"": ""prep_p_epilog"",
      ""confidence"": 0.9,
      ""reason"": ""prep_p_epilog_slurmctld is a specific implementation of the prep_p_epilog function within the slurmctld""
    },
    {
      ""child"": ""prep_p_prolog_slurmctld"",
      ""parent"": ""prep_p_prolog"",
      ""confidence"": 0.9,
      ""reason"": ""prep_p_prolog_slurmctld is a specific implementation of the prep_p_prolog function within the slurmctld""
    }
  ]
}"
42,prep_p_prolog_slurmctld,prep_p_prolog,prep_p_prolog_slurmctld,prep_p_prolog,doc_61ca,doc_61ca_chunk_0003,0.9,"{""child_lemma"": ""prep_p_prolog_slurmctld"", ""parent_lemma"": ""prep_p_prolog"", ""reason"": ""prep_p_prolog_slurmctld is a specific implementation of the prep_p_prolog function within the slurmctld"", ""confidence"": 0.9, ""raw_item"": {""child"": ""prep_p_prolog_slurmctld"", ""parent"": ""prep_p_prolog"", ""confidence"": 0.9, ""reason"": ""prep_p_prolog_slurmctld is a specific implementation of the prep_p_prolog function within the slurmctld""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""prep_p_epilog_slurmctld"",
      ""parent"": ""prep_p_epilog"",
      ""confidence"": 0.9,
      ""reason"": ""prep_p_epilog_slurmctld is a specific implementation of the prep_p_epilog function within the slurmctld""
    },
    {
      ""child"": ""prep_p_prolog_slurmctld"",
      ""parent"": ""prep_p_prolog"",
      ""confidence"": 0.9,
      ""reason"": ""prep_p_prolog_slurmctld is a specific implementation of the prep_p_prolog function within the slurmctld""
    }
  ]
}"
43,burst buffer script,job script,burst buffer script,job script,doc_6722,doc_6722_chunk_0009,0.9,"{""child_lemma"": ""burst buffer script"", ""parent_lemma"": ""job script"", ""reason"": ""The burst buffer script is a specific type of job script that runs validation functions."", ""confidence"": 0.9, ""raw_item"": {""child"": ""burst buffer script"", ""parent"": ""job script"", ""confidence"": 0.9, ""reason"": ""The burst buffer script is a specific type of job script that runs validation functions.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""burst buffer script"",
      ""parent"": ""job script"",
      ""confidence"": 0.9,
      ""reason"": ""The burst buffer script is a specific type of job script that runs validation functions.""
    },
    {
      ""child"": ""capacity specification"",
      ""parent"": ""specification"",
      ""confidence"": 0.9,
      ""reason"": ""A capacity specification is a specific type of specification that indicates the amount of space required from a resource pool.""
    },
    {
      ""child"": ""pool"",
      ""parent"": ""resource pool"",
      ""confidence"": 0.9,
      ""reason"": ""A pool is a specific type of resource pool with a name that can be referenced in job submissions.""
    },
    {
      ""child"": ""size"",
      ""parent"": ""resource"",
      ""confidence"": 0.9,
      ""reason"": ""Size is a specific type of resource that refers to the amount of space.""
    }
  ]
}"
44,pool,resource pool,pool,resource pool,doc_6722,doc_6722_chunk_0009,0.9,"{""child_lemma"": ""pool"", ""parent_lemma"": ""resource pool"", ""reason"": ""A pool is a specific type of resource pool with a name that can be referenced in job submissions."", ""confidence"": 0.9, ""raw_item"": {""child"": ""pool"", ""parent"": ""resource pool"", ""confidence"": 0.9, ""reason"": ""A pool is a specific type of resource pool with a name that can be referenced in job submissions.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""burst buffer script"",
      ""parent"": ""job script"",
      ""confidence"": 0.9,
      ""reason"": ""The burst buffer script is a specific type of job script that runs validation functions.""
    },
    {
      ""child"": ""capacity specification"",
      ""parent"": ""specification"",
      ""confidence"": 0.9,
      ""reason"": ""A capacity specification is a specific type of specification that indicates the amount of space required from a resource pool.""
    },
    {
      ""child"": ""pool"",
      ""parent"": ""resource pool"",
      ""confidence"": 0.9,
      ""reason"": ""A pool is a specific type of resource pool with a name that can be referenced in job submissions.""
    },
    {
      ""child"": ""size"",
      ""parent"": ""resource"",
      ""confidence"": 0.9,
      ""reason"": ""Size is a specific type of resource that refers to the amount of space.""
    }
  ]
}"
45,burst buffer state,job state,burst buffer state,job state,doc_6722,doc_6722_chunk_0018,0.9,"{""child_lemma"": ""burst buffer state"", ""parent_lemma"": ""job state"", ""reason"": ""Burst buffer state is a specific aspect of job state."", ""confidence"": 0.9, ""raw_item"": {""child"": ""burst buffer state"", ""parent"": ""job state"", ""confidence"": 0.9, ""reason"": ""Burst buffer state is a specific aspect of job state.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""burst buffer state"",
      ""parent"": ""job state"",
      ""confidence"": 0.9,
      ""reason"": ""Burst buffer state is a specific aspect of job state.""
    },
    {
      ""child"": ""teardown"",
      ""parent"": ""burst buffer state"",
      ""confidence"": 0.9,
      ""reason"": ""Teardown is a specific state within burst buffer state.""
    },
    {
      ""child"": ""teardown-fail"",
      ""parent"": ""burst buffer state"",
      ""confidence"": 0.9,
      ""reason"": ""Teardown-fail is a specific state within burst buffer state.""
    },
    {
      ""child"": ""stage-out"",
      ""parent"": ""job state"",
      ""confidence"": 0.9,
      ""reason"": ""Stage-out is a specific aspect of job state.""
    }
  ]
}"
46,teardown,burst buffer state,teardown,burst buffer state,doc_6722,doc_6722_chunk_0018,0.9,"{""child_lemma"": ""teardown"", ""parent_lemma"": ""burst buffer state"", ""reason"": ""Teardown is a specific state within burst buffer state."", ""confidence"": 0.9, ""raw_item"": {""child"": ""teardown"", ""parent"": ""burst buffer state"", ""confidence"": 0.9, ""reason"": ""Teardown is a specific state within burst buffer state.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""burst buffer state"",
      ""parent"": ""job state"",
      ""confidence"": 0.9,
      ""reason"": ""Burst buffer state is a specific aspect of job state.""
    },
    {
      ""child"": ""teardown"",
      ""parent"": ""burst buffer state"",
      ""confidence"": 0.9,
      ""reason"": ""Teardown is a specific state within burst buffer state.""
    },
    {
      ""child"": ""teardown-fail"",
      ""parent"": ""burst buffer state"",
      ""confidence"": 0.9,
      ""reason"": ""Teardown-fail is a specific state within burst buffer state.""
    },
    {
      ""child"": ""stage-out"",
      ""parent"": ""job state"",
      ""confidence"": 0.9,
      ""reason"": ""Stage-out is a specific aspect of job state.""
    }
  ]
}"
47,teardown-fail,burst buffer state,teardown-fail,burst buffer state,doc_6722,doc_6722_chunk_0018,0.9,"{""child_lemma"": ""teardown-fail"", ""parent_lemma"": ""burst buffer state"", ""reason"": ""Teardown-fail is a specific state within burst buffer state."", ""confidence"": 0.9, ""raw_item"": {""child"": ""teardown-fail"", ""parent"": ""burst buffer state"", ""confidence"": 0.9, ""reason"": ""Teardown-fail is a specific state within burst buffer state.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""burst buffer state"",
      ""parent"": ""job state"",
      ""confidence"": 0.9,
      ""reason"": ""Burst buffer state is a specific aspect of job state.""
    },
    {
      ""child"": ""teardown"",
      ""parent"": ""burst buffer state"",
      ""confidence"": 0.9,
      ""reason"": ""Teardown is a specific state within burst buffer state.""
    },
    {
      ""child"": ""teardown-fail"",
      ""parent"": ""burst buffer state"",
      ""confidence"": 0.9,
      ""reason"": ""Teardown-fail is a specific state within burst buffer state.""
    },
    {
      ""child"": ""stage-out"",
      ""parent"": ""job state"",
      ""confidence"": 0.9,
      ""reason"": ""Stage-out is a specific aspect of job state.""
    }
  ]
}"
48,stage-out,job state,stage-out,job state,doc_6722,doc_6722_chunk_0018,0.9,"{""child_lemma"": ""stage-out"", ""parent_lemma"": ""job state"", ""reason"": ""Stage-out is a specific aspect of job state."", ""confidence"": 0.9, ""raw_item"": {""child"": ""stage-out"", ""parent"": ""job state"", ""confidence"": 0.9, ""reason"": ""Stage-out is a specific aspect of job state.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""burst buffer state"",
      ""parent"": ""job state"",
      ""confidence"": 0.9,
      ""reason"": ""Burst buffer state is a specific aspect of job state.""
    },
    {
      ""child"": ""teardown"",
      ""parent"": ""burst buffer state"",
      ""confidence"": 0.9,
      ""reason"": ""Teardown is a specific state within burst buffer state.""
    },
    {
      ""child"": ""teardown-fail"",
      ""parent"": ""burst buffer state"",
      ""confidence"": 0.9,
      ""reason"": ""Teardown-fail is a specific state within burst buffer state.""
    },
    {
      ""child"": ""stage-out"",
      ""parent"": ""job state"",
      ""confidence"": 0.9,
      ""reason"": ""Stage-out is a specific aspect of job state.""
    }
  ]
}"
49,pam_slurm_adopt,account,pam_slurm_adopt,account,doc_732b,doc_732b_chunk_0003,0.9,"{""child_lemma"": ""pam_slurm_adopt"", ""parent_lemma"": ""account"", ""reason"": ""pam_slurm_adopt is a specific type of account module used for Slurm integration."", ""confidence"": 0.9, ""raw_item"": {""child"": ""pam_slurm_adopt"", ""parent"": ""account"", ""confidence"": 0.9, ""reason"": ""pam_slurm_adopt is a specific type of account module used for Slurm integration.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""pam_slurm_adopt"",
      ""parent"": ""account"",
      ""confidence"": 0.9,
      ""reason"": ""pam_slurm_adopt is a specific type of account module used for Slurm integration.""
    }
  ]
}"
50,pam_slurm_adopt,pam module,pam_slurm_adopt,PAM module,doc_732b,doc_732b_chunk_0004,0.95,"{""child_lemma"": ""pam_slurm_adopt"", ""parent_lemma"": ""pam module"", ""reason"": ""pam_slurm_adopt is a specific type of PAM module used for adopting user sessions into Slurm jobs."", ""confidence"": 0.95, ""raw_item"": {""child"": ""pam_slurm_adopt"", ""parent"": ""pam module"", ""confidence"": 0.95, ""reason"": ""pam_slurm_adopt is a specific type of PAM module used for adopting user sessions into Slurm jobs.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""administrative access"",
      ""parent"": ""user_role"",
      ""confidence"": 0.9,
      ""reason"": ""Administrative access is a specific type of user role that grants additional permissions.""
    },
    {
      ""child"": ""pam_slurm_adopt"",
      ""parent"": ""pam module"",
      ""confidence"": 0.95,
      ""reason"": ""pam_slurm_adopt is a specific type of PAM module used for adopting user sessions into Slurm jobs.""
    }
  ]
}"
51,slurmddebug,log_level,SlurmdDebug,log_level,doc_732b,doc_732b_chunk_0009,0.9,"{""child_lemma"": ""slurmddebug"", ""parent_lemma"": ""log_level"", ""reason"": ""SlurmdDebug is a specific log level configuration parameter in slurm.conf."", ""confidence"": 0.9, ""raw_item"": {""child"": ""slurmddebug"", ""parent"": ""log_level"", ""confidence"": 0.9, ""reason"": ""SlurmdDebug is a specific log level configuration parameter in slurm.conf.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""slurmddebug"",
      ""parent"": ""log_level"",
      ""confidence"": 0.9,
      ""reason"": ""SlurmdDebug is a specific log level configuration parameter in slurm.conf.""
    },
    {
      ""child"": ""nodename"",
      ""parent"": ""hostname"",
      ""confidence"": 0.9,
      ""reason"": ""Nodename is a specific configuration parameter related to hostname.""
    },
    {
      ""child"": ""service"",
      ""parent"": ""pam"",
      ""confidence"": 0.9,
      ""reason"": ""Service is a specific context for which the pam service should run.""
    },
    {
      ""child"": ""source job"",
      ""parent"": ""job"",
      ""confidence"": 0.9,
      ""reason"": ""Source job refers to a specific type of job in the context of Slurm.""
    }
  ]
}"
52,nodename,hostname,nodename,hostname,doc_732b,doc_732b_chunk_0009,0.9,"{""child_lemma"": ""nodename"", ""parent_lemma"": ""hostname"", ""reason"": ""Nodename is a specific configuration parameter related to hostname."", ""confidence"": 0.9, ""raw_item"": {""child"": ""nodename"", ""parent"": ""hostname"", ""confidence"": 0.9, ""reason"": ""Nodename is a specific configuration parameter related to hostname.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""slurmddebug"",
      ""parent"": ""log_level"",
      ""confidence"": 0.9,
      ""reason"": ""SlurmdDebug is a specific log level configuration parameter in slurm.conf.""
    },
    {
      ""child"": ""nodename"",
      ""parent"": ""hostname"",
      ""confidence"": 0.9,
      ""reason"": ""Nodename is a specific configuration parameter related to hostname.""
    },
    {
      ""child"": ""service"",
      ""parent"": ""pam"",
      ""confidence"": 0.9,
      ""reason"": ""Service is a specific context for which the pam service should run.""
    },
    {
      ""child"": ""source job"",
      ""parent"": ""job"",
      ""confidence"": 0.9,
      ""reason"": ""Source job refers to a specific type of job in the context of Slurm.""
    }
  ]
}"
53,service,pam,service,pam,doc_732b,doc_732b_chunk_0009,0.9,"{""child_lemma"": ""service"", ""parent_lemma"": ""pam"", ""reason"": ""Service is a specific context for which the pam service should run."", ""confidence"": 0.9, ""raw_item"": {""child"": ""service"", ""parent"": ""pam"", ""confidence"": 0.9, ""reason"": ""Service is a specific context for which the pam service should run.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""slurmddebug"",
      ""parent"": ""log_level"",
      ""confidence"": 0.9,
      ""reason"": ""SlurmdDebug is a specific log level configuration parameter in slurm.conf.""
    },
    {
      ""child"": ""nodename"",
      ""parent"": ""hostname"",
      ""confidence"": 0.9,
      ""reason"": ""Nodename is a specific configuration parameter related to hostname.""
    },
    {
      ""child"": ""service"",
      ""parent"": ""pam"",
      ""confidence"": 0.9,
      ""reason"": ""Service is a specific context for which the pam service should run.""
    },
    {
      ""child"": ""source job"",
      ""parent"": ""job"",
      ""confidence"": 0.9,
      ""reason"": ""Source job refers to a specific type of job in the context of Slurm.""
    }
  ]
}"
54,mem_per_cpu,memory_per_cpu,mem_per_cpu,memory_per_cpu,doc_7425,doc_7425_chunk_0024,0.9,"{""child_lemma"": ""mem_per_cpu"", ""parent_lemma"": ""memory_per_cpu"", ""reason"": ""mem_per_cpu is a specific representation of memory_per_cpu."", ""confidence"": 0.9, ""raw_item"": {""child"": ""mem_per_cpu"", ""parent"": ""memory_per_cpu"", ""confidence"": 0.9, ""reason"": ""mem_per_cpu is a specific representation of memory_per_cpu.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""mem_per_cpu"",
      ""parent"": ""memory_per_cpu"",
      ""confidence"": 0.9,
      ""reason"": ""mem_per_cpu is a specific representation of memory_per_cpu.""
    },
    {
      ""child"": ""mem_per_node"",
      ""parent"": ""memory_per_cpu"",
      ""confidence"": 0.9,
      ""reason"": ""mem_per_node is a specific representation of memory_per_cpu for nodes.""
    },
    {
      ""child"": ""job_info"",
      ""parent"": ""job"",
      ""confidence"": 0.95,
      ""reason"": ""job_info is a specific type of job containing job details.""
    }
  ]
}"
55,mem_per_node,memory_per_cpu,mem_per_node,memory_per_cpu,doc_7425,doc_7425_chunk_0024,0.9,"{""child_lemma"": ""mem_per_node"", ""parent_lemma"": ""memory_per_cpu"", ""reason"": ""mem_per_node is a specific representation of memory_per_cpu for nodes."", ""confidence"": 0.9, ""raw_item"": {""child"": ""mem_per_node"", ""parent"": ""memory_per_cpu"", ""confidence"": 0.9, ""reason"": ""mem_per_node is a specific representation of memory_per_cpu for nodes.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""mem_per_cpu"",
      ""parent"": ""memory_per_cpu"",
      ""confidence"": 0.9,
      ""reason"": ""mem_per_cpu is a specific representation of memory_per_cpu.""
    },
    {
      ""child"": ""mem_per_node"",
      ""parent"": ""memory_per_cpu"",
      ""confidence"": 0.9,
      ""reason"": ""mem_per_node is a specific representation of memory_per_cpu for nodes.""
    },
    {
      ""child"": ""job_info"",
      ""parent"": ""job"",
      ""confidence"": 0.95,
      ""reason"": ""job_info is a specific type of job containing job details.""
    }
  ]
}"
56,active sibling,sibling job,Active Sibling,Sibling Job,doc_7940,doc_7940_chunk_0008,0.9,"{""child_lemma"": ""active sibling"", ""parent_lemma"": ""sibling job"", ""reason"": ""Active Sibling is a state of a Sibling Job."", ""confidence"": 0.9, ""raw_item"": {""child"": ""active sibling"", ""parent"": ""sibling job"", ""confidence"": 0.9, ""reason"": ""Active Sibling is a state of a Sibling Job.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""active sibling"",
      ""parent"": ""sibling job"",
      ""confidence"": 0.9,
      ""reason"": ""Active Sibling is a state of a Sibling Job.""
    },
    {
      ""child"": ""viable sibling"",
      ""parent"": ""sibling job"",
      ""confidence"": 0.9,
      ""reason"": ""Viable Sibling is a cluster that is eligible to run a Sibling Job.""
    },
    {
      ""child"": ""origin cluster id"",
      ""parent"": ""job id"",
      ""confidence"": 0.9,
      ""reason"": ""Origin Cluster ID is a part of the unique job ID.""
    },
    {
      ""child"": ""local job id"",
      ""parent"": ""job id"",
      ""confidence"": 0.9,
      ""reason"": ""Local Job ID is a part of the unique job ID.""
    }
  ]
}"
