edge_id,child_term,parent_term,child_canonical,parent_canonical,doc_id,chunk_id,reason,raw_json
40,/tmp,mount,/tmp,mount,doc_5755,doc_5755_chunk_0053,"The text describes /tmp as being mounted, implying it is a specific type of mount.","{
  ""is_a_edges"": [
    {
      ""child"": ""job's namespace"",
      ""parent"": ""namespace"",
      ""reason"": ""The text describes the job's namespace as being constructed by the plugin, implying it is a specific type of namespace.""
    },
    {
      ""child"": ""initialization script"",
      ""parent"": ""script"",
      ""reason"": ""The text mentions an initialization script that is invoked before the job's namespace is constructed, suggesting it is a specific type of script.""
    },
    {
      ""child"": ""/tmp"",
      ""parent"": ""mount"",
      ""reason"": ""The text describes /tmp as being mounted, implying it is a specific type of mount.""
    },
    {
      ""child"": ""pam_slurm_adopt"",
      ""parent"": ""PAM module"",
      ""reason"": ""The text mentions pam_slurm_adopt as a PAM module, implying it is a specific type of PAM module.""
    }
  ]
}"
41,awk,launch string,awk,launch string,doc_5755,doc_5755_chunk_0063,awk is used within the launch string.,"{
  ""is_a_edges"": [
    {
      ""child"": ""awk"",
      ""parent"": ""launch string"",
      ""reason"": ""awk is used within the launch string.""
    },
    {
      ""child"": ""bulk_launch_tmpfile1_host_lines"",
      ""parent"": ""dset"",
      ""reason"": ""bulk_launch_tmpfile1_host_lines is a parameter for dset.""
    }
  ]
}"
42,bulk_launch_tmpfile1_host_lines,dset,bulk_launch_tmpfile1_host_lines,dset,doc_5755,doc_5755_chunk_0063,bulk_launch_tmpfile1_host_lines is a parameter for dset.,"{
  ""is_a_edges"": [
    {
      ""child"": ""awk"",
      ""parent"": ""launch string"",
      ""reason"": ""awk is used within the launch string.""
    },
    {
      ""child"": ""bulk_launch_tmpfile1_host_lines"",
      ""parent"": ""dset"",
      ""reason"": ""bulk_launch_tmpfile1_host_lines is a parameter for dset.""
    }
  ]
}"
43,persistent burst buffer,burst buffer,persistent burst buffer,burst buffer,doc_5d35,doc_5d35_chunk_0003,Persistent burst buffer can be accessed by all components of a heterogeneous job.,"{
  ""is_a_edges"": [
    {
      ""child"": ""job component"",
      ""parent"": ""job"",
      ""reason"": ""Each component of a heterogeneous job counts as a 'job' with respect to resource limits.""
    },
    {
      ""child"": ""persistent burst buffer"",
      ""parent"": ""burst buffer"",
      ""reason"": ""Persistent burst buffer can be accessed by all components of a heterogeneous job.""
    },
    {
      ""child"": ""job-specific burst buffer"",
      ""parent"": ""burst buffer"",
      ""reason"": ""Job-specific burst buffer is associated with only one heterogeneous job component.""
    }
  ]
}"
44,job-specific burst buffer,burst buffer,job-specific burst buffer,burst buffer,doc_5d35,doc_5d35_chunk_0003,Job-specific burst buffer is associated with only one heterogeneous job component.,"{
  ""is_a_edges"": [
    {
      ""child"": ""job component"",
      ""parent"": ""job"",
      ""reason"": ""Each component of a heterogeneous job counts as a 'job' with respect to resource limits.""
    },
    {
      ""child"": ""persistent burst buffer"",
      ""parent"": ""burst buffer"",
      ""reason"": ""Persistent burst buffer can be accessed by all components of a heterogeneous job.""
    },
    {
      ""child"": ""job-specific burst buffer"",
      ""parent"": ""burst buffer"",
      ""reason"": ""Job-specific burst buffer is associated with only one heterogeneous job component.""
    }
  ]
}"
45,het_job_id,job_id,het_job_id,job_id,doc_5d35,doc_5d35_chunk_0004,"het_job_id is a specific type of job_id, as it applies to all components of a heterogeneous job.","{
  ""is_a_edges"": [
    {
      ""child"": ""#EXCLUDED directive"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""The directive is a specific configuration option added to the batch script.""
    },
    {
      ""child"": ""batch script"",
      ""parent"": ""job"",
      ""reason"": ""The batch script is a specific type of job component.""
    },
    {
      ""child"": ""het_job_id"",
      ""parent"": ""job_id"",
      ""reason"": ""het_job_id is a specific type of job_id, as it applies to all components of a heterogeneous job.""
    },
    {
      ""child"": ""het_job_offset"",
      ""parent"": ""job_id"",
      ""reason"": ""het_job_offset is a specific type of job_id, as it uniquely identifies each component of a heterogeneous job.""
    }
  ]
}"
46,het_job_offset,job_id,het_job_offset,job_id,doc_5d35,doc_5d35_chunk_0004,"het_job_offset is a specific type of job_id, as it uniquely identifies each component of a heterogeneous job.","{
  ""is_a_edges"": [
    {
      ""child"": ""#EXCLUDED directive"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""The directive is a specific configuration option added to the batch script.""
    },
    {
      ""child"": ""batch script"",
      ""parent"": ""job"",
      ""reason"": ""The batch script is a specific type of job component.""
    },
    {
      ""child"": ""het_job_id"",
      ""parent"": ""job_id"",
      ""reason"": ""het_job_id is a specific type of job_id, as it applies to all components of a heterogeneous job.""
    },
    {
      ""child"": ""het_job_offset"",
      ""parent"": ""job_id"",
      ""reason"": ""het_job_offset is a specific type of job_id, as it uniquely identifies each component of a heterogeneous job.""
    }
  ]
}"
47,burst_buffer/datawarp,burst buffer plugin,burst_buffer/datawarp,burst buffer plugin,doc_6722,doc_6722_chunk_0003,burst_buffer/datawarp is a specific type of burst buffer plugin.,"{
  ""is_a_edges"": [
    {
      ""child"": ""burst buffer plugin"",
      ""parent"": ""plugin"",
      ""reason"": ""burst buffer plugin is a specific type of plugin.""
    },
    {
      ""child"": ""burst buffer resources"",
      ""parent"": ""resources"",
      ""reason"": ""burst buffer resources are a specific type of resources.""
    },
    {
      ""child"": ""dw_wlm_cli"",
      ""parent"": ""script"",
      ""reason"": ""dw_wlm_cli is a specific type of script.""
    },
    {
      ""child"": ""getsysstate"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""getsysstate is a specific configuration parameter.""
    },
    {
      ""child"": ""burst_buffer/datawarp"",
      ""parent"": ""burst buffer plugin"",
      ""reason"": ""burst_buffer/datawarp is a specific type of burst buffer plugin.""
    }
  ]
}"
48,--bbf options,command-line job options,--bbf options,command-line job options,doc_6722,doc_6722_chunk_0008,The --bbf options are explicitly mentioned as options within the command-line job options.,"{
  ""is_a_edges"": [
    {
      ""child"": ""--bbf options"",
      ""parent"": ""command-line job options"",
      ""reason"": ""The --bbf options are explicitly mentioned as options within the command-line job options.""
    },
    {
      ""child"": ""burst buffer stages"",
      ""parent"": ""job's life cycle"",
      ""reason"": ""Burst buffer stages are described as happening at specific points in the job's life cycle.""
    },
    {
      ""child"": ""burst buffer"",
      ""parent"": ""resource"",
      ""reason"": ""Burst buffer is described as a resource that jobs can request.""
    },
    {
      ""child"": ""job request"",
      ""parent"": ""job"",
      ""reason"": ""Job request is mentioned as the action of requesting resources from the system.""
    }
  ]
}"
49,burst buffer stages,job's life cycle,burst buffer stages,job's life cycle,doc_6722,doc_6722_chunk_0008,Burst buffer stages are described as happening at specific points in the job's life cycle.,"{
  ""is_a_edges"": [
    {
      ""child"": ""--bbf options"",
      ""parent"": ""command-line job options"",
      ""reason"": ""The --bbf options are explicitly mentioned as options within the command-line job options.""
    },
    {
      ""child"": ""burst buffer stages"",
      ""parent"": ""job's life cycle"",
      ""reason"": ""Burst buffer stages are described as happening at specific points in the job's life cycle.""
    },
    {
      ""child"": ""burst buffer"",
      ""parent"": ""resource"",
      ""reason"": ""Burst buffer is described as a resource that jobs can request.""
    },
    {
      ""child"": ""job request"",
      ""parent"": ""job"",
      ""reason"": ""Job request is mentioned as the action of requesting resources from the system.""
    }
  ]
}"
50,afterburstbuffer,dependency,afterburstbuffer,dependency,doc_6722,doc_6722_chunk_0016,afterburstbuffer is a specific type of dependency.,"{
  ""is_a_edges"": [
    {
      ""child"": ""burst buffer states"",
      ""parent"": ""job states"",
      ""reason"": ""burst buffer states are a specific type of job state.""
    },
    {
      ""child"": ""afterburstbuffer"",
      ""parent"": ""dependency"",
      ""reason"": ""afterburstbuffer is a specific type of dependency.""
    },
    {
      ""child"": ""create reservation"",
      ""parent"": ""job submission commands"",
      ""reason"": ""create reservation is a specific type of job submission command.""
    },
    {
      ""child"": ""burstbuffer"",
      ""parent"": ""resource"",
      ""reason"": ""burstbuffer is a specific type of resource.""
    }
  ]
}"
51,pam_slurm_adopt,account,pam_slurm_adopt,account,doc_732b,doc_732b_chunk_0003,pam_slurm_adopt is a specific account configuration option.,"{
  ""is_a_edges"": [
    {
      ""child"": ""pam_slurm_adopt"",
      ""parent"": ""account"",
      ""reason"": ""pam_slurm_adopt is a specific account configuration option.""
    }
  ]
}"
52,pam_slurm_adopt,pam module,pam_slurm_adopt,pam module,doc_732b,doc_732b_chunk_0004,pam_slurm_adopt is a specific pam module mentioned in the text.,"{
  ""is_a_edges"": [
    {
      ""child"": ""pam_slurm_adopt"",
      ""parent"": ""pam module"",
      ""reason"": ""pam_slurm_adopt is a specific pam module mentioned in the text.""
    }
  ]
}"
53,group,user,group,user,doc_732b,doc_732b_chunk_0005,Group is a specific type of user.,"{
  ""is_a_edges"": [
    {
      ""child"": ""pam_slurm_adopt"",
      ""parent"": ""daemon"",
      ""reason"": ""pam_slurm_adopt is a specific daemon component.""
    },
    {
      ""child"": ""pam_listfile"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""pam_listfile is a specific configuration option.""
    },
    {
      ""child"": ""pam_systemd"",
      ""parent"": ""daemon"",
      ""reason"": ""pam_systemd is a specific daemon component.""
    },
    {
      ""child"": ""account"",
      ""parent"": ""job"",
      ""reason"": ""Account is a specific type of job.""
    },
    {
      ""child"": ""group"",
      ""parent"": ""user"",
      ""reason"": ""Group is a specific type of user.""
    }
  ]
}"
54,mem_per_cpu,memory_per_cpu,mem_per_cpu,memory_per_cpu,doc_7425,doc_7425_chunk_0024,mem_per_cpu is a specific configuration parameter for memory_per_cpu.,"{
  ""is_a_edges"": [
    {
      ""child"": ""job_info"",
      ""parent"": ""job"",
      ""reason"": ""job_info is a specific type of job.""
    },
    {
      ""child"": ""mem_per_cpu"",
      ""parent"": ""memory_per_cpu"",
      ""reason"": ""mem_per_cpu is a specific configuration parameter for memory_per_cpu.""
    },
    {
      ""child"": ""mem_per_node"",
      ""parent"": ""memory_per_cpu"",
      ""reason"": ""mem_per_node is a specific configuration parameter for memory_per_node.""
    }
  ]
}"
55,mem_per_node,memory_per_cpu,mem_per_node,memory_per_cpu,doc_7425,doc_7425_chunk_0024,mem_per_node is a specific configuration parameter for memory_per_node.,"{
  ""is_a_edges"": [
    {
      ""child"": ""job_info"",
      ""parent"": ""job"",
      ""reason"": ""job_info is a specific type of job.""
    },
    {
      ""child"": ""mem_per_cpu"",
      ""parent"": ""memory_per_cpu"",
      ""reason"": ""mem_per_cpu is a specific configuration parameter for memory_per_cpu.""
    },
    {
      ""child"": ""mem_per_node"",
      ""parent"": ""memory_per_cpu"",
      ""reason"": ""mem_per_node is a specific configuration parameter for memory_per_node.""
    }
  ]
}"
56,local licenses,licenses,local licenses,licenses,doc_85cb,doc_85cb_chunk_0001,"Local licenses are a specific type of licenses, as they are local to the cluster and configured using the slurm.conf.","{
  ""is_a_edges"": [
    {
      ""child"": ""local licenses"",
      ""parent"": ""licenses"",
      ""reason"": ""Local licenses are a specific type of licenses, as they are local to the cluster and configured using the slurm.conf.""
    },
    {
      ""child"": ""remote licenses"",
      ""parent"": ""licenses"",
      ""reason"": ""Remote licenses are a specific type of licenses, as they are served by the database and configured using the sacctmgr command.""
    },
    {
      ""child"": ""pending jobs"",
      ""parent"": ""jobs"",
      ""reason"": ""Pending jobs are a specific type of jobs, as they are kept waiting until licenses become available.""
    },
    {
      ""child"": ""shared resources"",
      ""parent"": ""resources"",
      ""reason"": ""Licenses in Slurm are described as shared resources, meaning they are not tied to a specific host but are associated with the entire cluster.""
    }
  ]
}"
57,remote licenses,licenses,remote licenses,licenses,doc_85cb,doc_85cb_chunk_0001,"Remote licenses are a specific type of licenses, as they are served by the database and configured using the sacctmgr command.","{
  ""is_a_edges"": [
    {
      ""child"": ""local licenses"",
      ""parent"": ""licenses"",
      ""reason"": ""Local licenses are a specific type of licenses, as they are local to the cluster and configured using the slurm.conf.""
    },
    {
      ""child"": ""remote licenses"",
      ""parent"": ""licenses"",
      ""reason"": ""Remote licenses are a specific type of licenses, as they are served by the database and configured using the sacctmgr command.""
    },
    {
      ""child"": ""pending jobs"",
      ""parent"": ""jobs"",
      ""reason"": ""Pending jobs are a specific type of jobs, as they are kept waiting until licenses become available.""
    },
    {
      ""child"": ""shared resources"",
      ""parent"": ""resources"",
      ""reason"": ""Licenses in Slurm are described as shared resources, meaning they are not tied to a specific host but are associated with the entire cluster.""
    }
  ]
}"
58,job step manager,job,job step manager,job,doc_868e,doc_868e_chunk_0004,"slurmstepd is described as a manager for jobs, making it a specific type of job.","{
  ""is_a_edges"": [
    {
      ""child"": ""slurm rest API daemon"",
      ""parent"": ""slurmrestd"",
      ""reason"": ""The text explicitly states that slurmrestd is the Slurm REST API daemon.""
    },
    {
      ""child"": ""job step manager"",
      ""parent"": ""job"",
      ""reason"": ""slurmstepd is described as a manager for jobs, making it a specific type of job.""
    },
    {
      ""child"": ""Slurm Plug-in Architecture for Node and job (K)control"",
      ""parent"": ""spank"",
      ""reason"": ""The text mentions SPANK as the Slurm Plug-in Architecture, making it a more general concept.""
    }
  ]
}"
59,plugin,data_parser,plugin,data_parser,doc_8f5e,doc_8f5e_chunk_0006,The text describes plugin as a specific form of data_parser.,"{
  ""is_a_edges"": [
    {
      ""child"": ""--json"",
      ""parent"": ""CLI command argument"",
      ""reason"": ""The text describes --json as a command argument.""
    },
    {
      ""child"": ""--yaml"",
      ""parent"": ""CLI command argument"",
      ""reason"": ""The text describes --yaml as a command argument.""
    },
    {
      ""child"": ""json_diff"",
      ""parent"": ""command"",
      ""reason"": ""The text describes json_diff as a command.""
    },
    {
      ""child"": ""slurmrestd web clients"",
      ""parent"": ""client"",
      ""reason"": ""The text describes slurmrestd web clients as a type of client.""
    },
    {
      ""child"": ""plugin"",
      ""parent"": ""data_parser"",
      ""reason"": ""The text describes plugin as a specific form of data_parser.""
    }
  ]
}"
60,slurmd (compute nodes),slurmd,slurmd (compute nodes),slurmd,doc_8f5e,doc_8f5e_chunk_0010,"slurmd (compute nodes) is a specific type of slurmd, as it refers to the slurmd daemons on the compute nodes.","{
  ""is_a_edges"": [
    {
      ""child"": ""slurmd (compute nodes)"",
      ""parent"": ""slurmd"",
      ""reason"": ""slurmd (compute nodes) is a specific type of slurmd, as it refers to the slurmd daemons on the compute nodes.""
    },
    {
      ""child"": ""rolling upgrade"",
      ""parent"": ""upgrade"",
      ""reason"": ""rolling upgrade is a specific type of upgrade, as it is described as a method for upgrading slurmd nodes.""
    },
    {
      ""child"": ""scontrol reconfig"",
      ""parent"": ""reconfig"",
      ""reason"": ""scontrol reconfig is a specific implementation of the reconfig operation.""
    }
  ]
}"
61,slurmd nodes,compute nodes,slurmd nodes,compute nodes,doc_8f5e,doc_8f5e_chunk_0011,Slurmd nodes are a specific type of compute nodes.,"{
  ""is_a_edges"": [
    {
      ""child"": ""rolling upgrade"",
      ""parent"": ""upgrade"",
      ""reason"": ""Rolling upgrade is a specific type of upgrade process.""
    },
    {
      ""child"": ""slurmd nodes"",
      ""parent"": ""compute nodes"",
      ""reason"": ""Slurmd nodes are a specific type of compute nodes.""
    },
    {
      ""child"": ""slurmd"",
      ""parent"": ""daemon"",
      ""reason"": ""Slurmd is a specific daemon used in HPC.""
    },
    {
      ""child"": ""scontrol reconfig"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""scontrol reconfig is a specific configuration parameter used to change Slurm configuration.""
    },
    {
      ""child"": ""slurmdtimeout"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""slurmdtimeout is a specific configuration parameter related to Slurmd.""
    }
  ]
}"
62,knl_generic plugin,node features plugin,knl_generic plugin,node features plugin,doc_96c0,doc_96c0_chunk_0004,It is a specific type of node features plugin for Intel KNL systems.,"{
  ""is_a_edges"": [
    {
      ""child"": ""available and active features"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""They are defined and managed by a configuration file and plugin.""
    },
    {
      ""child"": ""drained nodes"",
      ""parent"": ""job state"",
      ""reason"": ""They are in a state where they are no longer available for allocation.""
    },
    {
      ""child"": ""knl_generic plugin"",
      ""parent"": ""node features plugin"",
      ""reason"": ""It is a specific type of node features plugin for Intel KNL systems.""
    },
    {
      ""child"": ""node features plugin"",
      ""parent"": ""daemon/component"",
      ""reason"": ""It is a component that manages the available and active features information.""
    },
    {
      ""child"": ""portable hardware locality (hwloc)"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""Slurm relies on it for determining the node's current topology.""
    }
  ]
}"
63,knl_generic,plugin,knl_generic,plugin,doc_96c0,doc_96c0_chunk_0006,knl_generic is a specific plugin mentioned in the text.,"{
  ""is_a_edges"": [
    {
      ""child"": ""knl_generic"",
      ""parent"": ""plugin"",
      ""reason"": ""knl_generic is a specific plugin mentioned in the text.""
    },
    {
      ""child"": ""DefaultMCDRAM"",
      ""parent"": ""mcdram"",
      ""reason"": ""DefaultMCDRAM is a specific value of mcdram.""
    },
    {
      ""child"": ""DefaultNUMA"",
      ""parent"": ""numa mode"",
      ""reason"": ""DefaultNUMA is a specific value of numa mode.""
    },
    {
      ""child"": ""AllowNUMA"",
      ""parent"": ""numa mode"",
      ""reason"": ""AllowNUMA is a configuration parameter that specifies valid numa modes.""
    }
  ]
}"
64,independent hierarchical topologies,hierarchical topologies,independent hierarchical topologies,hierarchical topologies,doc_9ca6,doc_9ca6_chunk_0001,Independent hierarchical topologies are explicitly defined as a specific type of hierarchical topologies.,"{
  ""is_a_edges"": [
    {
      ""child"": ""hierarchical resources"",
      ""parent"": ""resource"",
      ""reason"": ""Hierarchical resources are defined as a specific type of resource.""
    },
    {
      ""child"": ""independent hierarchical topologies"",
      ""parent"": ""hierarchical topologies"",
      ""reason"": ""Independent hierarchical topologies are explicitly defined as a specific type of hierarchical topologies.""
    },
    {
      ""child"": ""Mode 1"",
      ""parent"": ""planning modes"",
      ""reason"": ""Mode 1 is described as a specific mode of resource planning.""
    }
  ]
}"
65,maximum allocation,resources,maximum allocation,resources,doc_9ca6,doc_9ca6_chunk_0003,Maximum allocation is a constraint or limit applied to resources.,"{
  ""is_a_edges"": [
    {
      ""child"": ""maximum allocation"",
      ""parent"": ""resources"",
      ""reason"": ""Maximum allocation is a constraint or limit applied to resources.""
    }
  ]
}"
66,job's derived exit code,exitcode,job's derived exit code,exitcode,doc_9fd4,doc_9fd4_chunk_0002,The text describes the job's derived exit code as a specific form of exitcode.,"{
  ""is_a_edges"": [
    {
      ""child"": ""job's derived exit code"",
      ""parent"": ""exitcode"",
      ""reason"": ""The text describes the job's derived exit code as a specific form of exitcode.""
    },
    {
      ""child"": ""slurm control daemon"",
      ""parent"": ""daemon"",
      ""reason"": ""The text describes the slurm control daemon as a specific daemon.""
    },
    {
      ""child"": ""slurm database"",
      ""parent"": ""database"",
      ""reason"": ""The text describes the slurm database as a specific database.""
    }
  ]
}"
67,composite usage value,historical usage,composite usage value,historical usage,doc_ac8b,doc_ac8b_chunk_0008,The composite usage value is a specific form of historical usage.,"{
  ""is_a_edges"": [
    {
      ""child"": ""composite usage value"",
      ""parent"": ""historical usage"",
      ""reason"": ""The composite usage value is a specific form of historical usage.""
    },
    {
      ""child"": ""priority/multifactor"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priority/multifactor is a specific value of prioritytype.""
    },
    {
      ""child"": ""prioritydecayhalflife"",
      ""parent"": ""prioritytype"",
      ""reason"": ""prioritydecayhalflife is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""priorityusageresetperiod"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priorityusageresetperiod is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""prioritycalcperiod"",
      ""parent"": ""time string"",
      ""reason"": ""prioritycalcperiod is a specific type of time string.""
    }
  ]
}"
68,priority/multifactor,prioritytype,priority/multifactor,prioritytype,doc_ac8b,doc_ac8b_chunk_0008,priority/multifactor is a specific value of prioritytype.,"{
  ""is_a_edges"": [
    {
      ""child"": ""composite usage value"",
      ""parent"": ""historical usage"",
      ""reason"": ""The composite usage value is a specific form of historical usage.""
    },
    {
      ""child"": ""priority/multifactor"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priority/multifactor is a specific value of prioritytype.""
    },
    {
      ""child"": ""prioritydecayhalflife"",
      ""parent"": ""prioritytype"",
      ""reason"": ""prioritydecayhalflife is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""priorityusageresetperiod"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priorityusageresetperiod is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""prioritycalcperiod"",
      ""parent"": ""time string"",
      ""reason"": ""prioritycalcperiod is a specific type of time string.""
    }
  ]
}"
69,prioritydecayhalflife,prioritytype,prioritydecayhalflife,prioritytype,doc_ac8b,doc_ac8b_chunk_0008,prioritydecayhalflife is a specific config parameter of prioritytype.,"{
  ""is_a_edges"": [
    {
      ""child"": ""composite usage value"",
      ""parent"": ""historical usage"",
      ""reason"": ""The composite usage value is a specific form of historical usage.""
    },
    {
      ""child"": ""priority/multifactor"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priority/multifactor is a specific value of prioritytype.""
    },
    {
      ""child"": ""prioritydecayhalflife"",
      ""parent"": ""prioritytype"",
      ""reason"": ""prioritydecayhalflife is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""priorityusageresetperiod"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priorityusageresetperiod is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""prioritycalcperiod"",
      ""parent"": ""time string"",
      ""reason"": ""prioritycalcperiod is a specific type of time string.""
    }
  ]
}"
70,priorityusageresetperiod,prioritytype,priorityusageresetperiod,prioritytype,doc_ac8b,doc_ac8b_chunk_0008,priorityusageresetperiod is a specific config parameter of prioritytype.,"{
  ""is_a_edges"": [
    {
      ""child"": ""composite usage value"",
      ""parent"": ""historical usage"",
      ""reason"": ""The composite usage value is a specific form of historical usage.""
    },
    {
      ""child"": ""priority/multifactor"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priority/multifactor is a specific value of prioritytype.""
    },
    {
      ""child"": ""prioritydecayhalflife"",
      ""parent"": ""prioritytype"",
      ""reason"": ""prioritydecayhalflife is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""priorityusageresetperiod"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priorityusageresetperiod is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""prioritycalcperiod"",
      ""parent"": ""time string"",
      ""reason"": ""prioritycalcperiod is a specific type of time string.""
    }
  ]
}"
71,prioritycalcperiod,time string,prioritycalcperiod,time string,doc_ac8b,doc_ac8b_chunk_0008,prioritycalcperiod is a specific type of time string.,"{
  ""is_a_edges"": [
    {
      ""child"": ""composite usage value"",
      ""parent"": ""historical usage"",
      ""reason"": ""The composite usage value is a specific form of historical usage.""
    },
    {
      ""child"": ""priority/multifactor"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priority/multifactor is a specific value of prioritytype.""
    },
    {
      ""child"": ""prioritydecayhalflife"",
      ""parent"": ""prioritytype"",
      ""reason"": ""prioritydecayhalflife is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""priorityusageresetperiod"",
      ""parent"": ""prioritytype"",
      ""reason"": ""priorityusageresetperiod is a specific config parameter of prioritytype.""
    },
    {
      ""child"": ""prioritycalcperiod"",
      ""parent"": ""time string"",
      ""reason"": ""prioritycalcperiod is a specific type of time string.""
    }
  ]
}"
72,gpu type,gres,gpu type,gres,doc_b2f9,doc_b2f9_chunk_0009,gpu type is a specific type of gres.,"{
  ""is_a_edges"": [
    {
      ""child"": ""job request"",
      ""parent"": ""job"",
      ""reason"": ""A job request is a specific type of job.""
    },
    {
      ""child"": ""gpu type"",
      ""parent"": ""gres"",
      ""reason"": ""gpu type is a specific type of gres.""
    },
    {
      ""child"": ""mps type"",
      ""parent"": ""gres"",
      ""reason"": ""mps type is a specific type of gres.""
    },
    {
      ""child"": ""count"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""Count is a specific type of configuration parameter.""
    },
    {
      ""child"": ""opt_multiple_sharing_gres_pj"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""opt_multiple_sharing_gres_pj is a specific configuration parameter.""
    }
  ]
}"
73,mps type,gres,mps type,gres,doc_b2f9,doc_b2f9_chunk_0009,mps type is a specific type of gres.,"{
  ""is_a_edges"": [
    {
      ""child"": ""job request"",
      ""parent"": ""job"",
      ""reason"": ""A job request is a specific type of job.""
    },
    {
      ""child"": ""gpu type"",
      ""parent"": ""gres"",
      ""reason"": ""gpu type is a specific type of gres.""
    },
    {
      ""child"": ""mps type"",
      ""parent"": ""gres"",
      ""reason"": ""mps type is a specific type of gres.""
    },
    {
      ""child"": ""count"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""Count is a specific type of configuration parameter.""
    },
    {
      ""child"": ""opt_multiple_sharing_gres_pj"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""opt_multiple_sharing_gres_pj is a specific configuration parameter.""
    }
  ]
}"
74,gpu configuration,gres/gpu,gpu configuration,gres/gpu,doc_b2f9,doc_b2f9_chunk_0014,The gpu configuration is a specific form of gres/gpu.,"{
  ""is_a_edges"": [
    {
      ""child"": ""gpu configuration"",
      ""parent"": ""gres/gpu"",
      ""reason"": ""The gpu configuration is a specific form of gres/gpu.""
    },
    {
      ""child"": ""gres/shard"",
      ""parent"": ""shard"",
      ""reason"": ""gres/shard is a specific type of shard, used for GPU resources.""
    },
    {
      ""child"": ""opt_multiple_sharing_gres_pj"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""opt_multiple_sharing_gres_pj is a specific configuration parameter for job requests.""
    }
  ]
}"
75,effective usage,fair-share factor,effective usage,fair-share factor,doc_c721,doc_c721_chunk_0003,Effective usage is a component of the fair-share factor calculation.,"{
  ""is_a_edges"": [
    {
      ""child"": ""effective usage"",
      ""parent"": ""fair-share factor"",
      ""reason"": ""Effective usage is a component of the fair-share factor calculation.""
    },
    {
      ""child"": ""account hierarchy"",
      ""parent"": ""fair-share factor"",
      ""reason"": ""Account hierarchy is a context for the fair-share factor concept.""
    }
  ]
}"
76,account hierarchy,fair-share factor,account hierarchy,fair-share factor,doc_c721,doc_c721_chunk_0003,Account hierarchy is a context for the fair-share factor concept.,"{
  ""is_a_edges"": [
    {
      ""child"": ""effective usage"",
      ""parent"": ""fair-share factor"",
      ""reason"": ""Effective usage is a component of the fair-share factor calculation.""
    },
    {
      ""child"": ""account hierarchy"",
      ""parent"": ""fair-share factor"",
      ""reason"": ""Account hierarchy is a context for the fair-share factor concept.""
    }
  ]
}"
77,qos values,quality of service,qos values,quality of service,doc_d41b,doc_d41b_chunk_0003,"qos values are defined for each association in the database, which implies they are a specific type of quality of service.","{
  ""is_a_edges"": [
    {
      ""child"": ""qos values"",
      ""parent"": ""quality of service"",
      ""reason"": ""qos values are defined for each association in the database, which implies they are a specific type of quality of service.""
    },
    {
      ""child"": ""safe"",
      ""parent"": ""job"",
      ""reason"": ""safe ensures a job will only be launched when using an association or qos that has a TRES-minutes limit set, implying it is a specific type of job.""
    },
    {
      ""child"": ""wckeys"",
      ""parent"": ""accounting policy"",
      ""reason"": ""wckeys prevents users from running jobs under a wckey that they don't have access to, which implies it is a specific part of the accounting policy.""
    }
  ]
}"
