enrich_id,canonical_term,example_term,scheduler,category,short_definition,is_hpc_domain,freq_total,doc_count,aliases_json,raw_json
967,dbd node,DBD Node,slurm,other_hPC,"A DBD Node is a machine running the slurmdbd daemon in a Slurm cluster, responsible for saving job accounting records to a database.",1,1,1,"[""Slurm DataBase Daemon node"", ""slurmdbd node""]","{
  ""term"": ""DBD Node"",
  ""canonical"": ""dbd node"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hPC"",
  ""short_definition"": ""A DBD Node is a machine running the slurmdbd daemon in a Slurm cluster, responsible for saving job accounting records to a database."",
  ""aliases"": [""Slurm DataBase Daemon node"", ""slurmdbd node""]
}"
968,dbdbackuphost,DbdBackupHost,slurm,config_param,"DbdBackupHost is a configuration parameter in SLURM that specifies the host for a backup instance of slurmdbd, used to store redundant state information.",1,2,2,[],"{
  ""term"": ""DbdBackupHost"",
  ""canonical"": ""dbdbackuphost"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DbdBackupHost is a configuration parameter in SLURM that specifies the host for a backup instance of slurmdbd, used to store redundant state information."",
  ""aliases"": []
}"
969,dbdport,DbdPort,slurm,config_param,DbdPort is a configuration parameter in SLURM that sets the port number for slurmdbd to listen for incoming requests.,1,1,1,[],"{
  ""term"": ""DbdPort"",
  ""canonical"": ""dbdport"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DbdPort is a configuration parameter in SLURM that sets the port number for slurmdbd to listen for incoming requests."",
  ""aliases"": []
}"
970,dbv0.0.36,dbv0.0.36,slurm,config_param,"dbv0.0.36 is a version of the openapi plugin used in Slurm, which may not be compatible with Slurm versions prior to slurm-20.11.",1,1,1,[],"{
  ""term"": ""dbv0.0.36"",
  ""canonical"": ""dbv0.0.36"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""dbv0.0.36 is a version of the openapi plugin used in Slurm, which may not be compatible with Slurm versions prior to slurm-20.11."",
  ""aliases"": []
}"
971,dbv0.0.37_response_associations,dbv0.0.37_response_associations,unknown,config_file,"A schema file (dbv0.0.37_response_associations) in the OpenAPI specification for Slurm, defining the structure of responses related to job associations.",1,1,1,[],"{
  ""term"": ""dbv0.0.37_response_associations"",
  ""canonical"": ""dbv0.0.37_response_associations"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""unknown"",
  ""category"": ""config_file"",
  ""short_definition"": ""A schema file (dbv0.0.37_response_associations) in the OpenAPI specification for Slurm, defining the structure of responses related to job associations."",
  ""aliases"": []
}"
972,dbv0.0.38,dbv0.0.38,unknown,config_file,"dbv0.0.38 is a version of an OpenAPI configuration file for an HPC system, possibly related to a plugin or API.",1,1,1,[],"{
  ""term"": ""dbv0.0.38"",
  ""canonical"": ""dbv0.0.38"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""unknown"",
  ""category"": ""config_file"",
  ""short_definition"": ""dbv0.0.38 is a version of an OpenAPI configuration file for an HPC system, possibly related to a plugin or API."",
  ""aliases"": []
}"
973,dbv0.0.38_qos,dbv0.0.38_qos,unknown,queue_or_partition,"dbv0.0.38_qos is a queue or partition name in an unknown HPC scheduler, possibly a custom or proprietary system.",1,1,1,[],"{
  ""term"": ""dbv0.0.38_qos"",
  ""canonical"": ""dbv0.0.38_qos"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""unknown"",
  ""category"": ""queue_or_partition"",
  ""short_definition"": ""dbv0.0.38_qos is a queue or partition name in an unknown HPC scheduler, possibly a custom or proprietary system."",
  ""aliases"": []
}"
974,dbv0.0.38_user,dbv0.0.38_user,unknown,config_param,"dbv0.0.38_user is a configuration parameter or schema used in the API of an HPC system, likely related to job or user management.",1,2,1,[],"{
  ""term"": ""dbv0.0.38_user"",
  ""canonical"": ""dbv0.0.38_user"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""unknown"",
  ""category"": ""config_param"",
  ""short_definition"": ""dbv0.0.38_user is a configuration parameter or schema used in the API of an HPC system, likely related to job or user management."",
  ""aliases"": []
}"
975,dbv0.0.39,dbv0.0.39,unknown,config_file,"dbv0.0.39 is a plugin version for handling data parsing and schema generation in the context of an HPC scheduler, as indicated by its integration with OpenAPI output and Slurm.",1,1,1,[],"{
  ""term"": ""dbv0.0.39"",
  ""canonical"": ""dbv0.0.39"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""unknown"",
  ""category"": ""config_file"",
  ""short_definition"": ""dbv0.0.39 is a plugin version for handling data parsing and schema generation in the context of an HPC scheduler, as indicated by its integration with OpenAPI output and Slurm."",
  ""aliases"": []
}"
976,deadline,DeadLine,generic,job_state,DeadLine is a job state indicating that the job has violated the configured deadline.,1,1,1,[],"{
  ""term"": ""DeadLine"",
  ""canonical"": ""deadline"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""job_state"",
  ""short_definition"": ""DeadLine is a job state indicating that the job has violated the configured deadline."",
  ""aliases"": []
}"
977,deb,DEB,unknown,non_domain,"DEB is a package format used in the Debian Linux distribution, not directly related to HPC schedulers.",1,2,2,[],"{
  ""term"": ""DEB"",
  ""canonical"": ""deb"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""unknown"",
  ""category"": ""non_domain"",
  ""short_definition"": ""DEB is a package format used in the Debian Linux distribution, not directly related to HPC schedulers."",
  ""aliases"": []
}"
978,deb packages,DEB packages,generic,config_file,"DEB packages are software packages for Debian-based Linux distributions that can be used to install Slurm, a popular HPC scheduler, on a cluster.",1,1,1,[],"{
  ""term"": ""DEB packages"",
  ""canonical"": ""deb packages"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""config_file"",
  ""short_definition"": ""DEB packages are software packages for Debian-based Linux distributions that can be used to install Slurm, a popular HPC scheduler, on a cluster."",
  ""aliases"": []
}"
979,deb-based install,DEB-based install,generic,other_hpc,"DEB-based install refers to the method of installing the pam_slurm_adopt module on Debian-based systems, using the Debian packaging scripts to build and install the slurm-smd-libpam-slurm-adopt package.",1,1,1,[],"{
  ""term"": ""DEB-based install"",
  ""canonical"": ""deb-based install"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""DEB-based install refers to the method of installing the pam_slurm_adopt module on Debian-based systems, using the Debian packaging scripts to build and install the slurm-smd-libpam-slurm-adopt package."",
  ""aliases"": []
}"
980,deb/rpm,DEB/RPM,generic,non_domain,"DEB and RPM are package managers for Linux distributions, used to install software packages, including SLURM and its components.",1,1,1,"[""Debian packages"", ""RPM packages""]","{
  ""term"": ""DEB/RPM"",
  ""canonical"": ""deb/rpm"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""non_domain"",
  ""short_definition"": ""DEB and RPM are package managers for Linux distributions, used to install software packages, including SLURM and its components."",
  ""aliases"": [""Debian packages"", ""RPM packages""]
}"
981,debian,Debian,unknown,non_domain,Not an HPC/scheduler-specific term; Debian is a Linux distribution used as the base for many HPC systems.,0,1,1,[],"{
  ""term"": ""Debian"",
  ""canonical"": ""debian"",
  ""is_hpc_domain_term"": false,
  ""scheduler"": ""unknown"",
  ""category"": ""non_domain"",
  ""short_definition"": ""Not an HPC/scheduler-specific term; Debian is a Linux distribution used as the base for many HPC systems."",
  ""aliases"": []
}"
982,debian packages,Debian Packages,generic,other_hpc,"Debian Packages are software packages built for the Debian Linux distribution, which can include HPC-related software such as Slurm.",1,1,1,[],"{
  ""term"": ""Debian Packages"",
  ""canonical"": ""debian packages"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""Debian Packages are software packages built for the Debian Linux distribution, which can include HPC-related software such as Slurm."",
  ""aliases"": []
}"
983,debug,debug,both,config_param,"The debug parameter is a configuration option that enables additional logging for specific components (broker, topic, msg) in the Kafka system, as well as job-related plugins in SLURM.",1,4,3,[],"{
  ""term"": ""debug"",
  ""canonical"": ""debug"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""config_param"",
  ""short_definition"": ""The debug parameter is a configuration option that enables additional logging for specific components (broker, topic, msg) in the Kafka system, as well as job-related plugins in SLURM."",
  ""aliases"": []
}"
984,debug contexts,debug contexts,generic,other_hpc,"Debug contexts are configurable logging scopes for the jobcomp/kafka plugin, allowing fine-grained control over the level and destination of log messages.",1,1,1,[],"{
  ""term"": ""debug contexts"",
  ""canonical"": ""debug contexts"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""Debug contexts are configurable logging scopes for the jobcomp/kafka plugin, allowing fine-grained control over the level and destination of log messages."",
  ""aliases"": []
}"
985,debugflags,DebugFlags,slurm,config_param,DebugFlags is a Slurm configuration parameter that enables extra plugin-specific logging for jobs.,1,5,5,[],"{
  ""term"": ""DebugFlags"",
  ""canonical"": ""debugflags"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DebugFlags is a Slurm configuration parameter that enables extra plugin-specific logging for jobs."",
  ""aliases"": []
}"
986,debugging,debugging,both,other_hpc,"Debugging refers to the process of identifying and resolving issues in HPC systems, as demonstrated by the use of DebugFlags for detailed logging in SLURM and burst buffer configurations.",1,1,1,[],"{
  ""term"": ""debugging"",
  ""canonical"": ""debugging"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""Debugging refers to the process of identifying and resolving issues in HPC systems, as demonstrated by the use of DebugFlags for detailed logging in SLURM and burst buffer configurations."",
  ""aliases"": []
}"
987,debuild,debuild,generic,other_hpc,"debuild is a Debian utility for building Debian packages, used in the context of building Slurm packages.",1,1,1,[],"{
  ""term"": ""debuild"",
  ""canonical"": ""debuild"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""debuild is a Debian utility for building Debian packages, used in the context of building Slurm packages."",
  ""aliases"": []
}"
988,munge decode failed,Munge decode failed,slurm,job_state,A Slurm job error message indicating that the Munge authentication system has detected an expired credential.,1,1,1,[],"{
  ""term"": ""Munge decode failed"",
  ""canonical"": ""munge decode failed"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""job_state"",
  ""short_definition"": ""A Slurm job error message indicating that the Munge authentication system has detected an expired credential."",
  ""aliases"": []
}"
989,dedicated node,dedicated node,slurm,resource,"A dedicated node in SLURM is a compute node specifically allocated for a user's parallel job, with resource limits that can be controlled separately from the login node.",1,1,1,[],"{
  ""term"": ""dedicated node"",
  ""canonical"": ""dedicated node"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""short_definition"": ""A dedicated node in SLURM is a compute node specifically allocated for a user's parallel job, with resource limits that can be controlled separately from the login node."",
  ""aliases"": []
}"
990,dedicated scopes,Dedicated scopes,unknown,non_domain,Not an HPC/scheduler-specific term; this refers to a concept in the KeyCloak authentication system.,0,1,1,[],"{
  ""term"": ""Dedicated scopes"",
  ""canonical"": ""dedicated scopes"",
  ""is_hpc_domain_term"": false,
  ""scheduler"": ""unknown"",
  ""category"": ""non_domain"",
  ""short_definition"": ""Not an HPC/scheduler-specific term; this refers to a concept in the KeyCloak authentication system."",
  ""aliases"": []
}"
991,default,Default,slurm,config_param,"In SLURM, 'Default' is a configuration parameter used to set or modify the default value for various entities, such as user accounts or options.",1,10,9,[],"{
  ""term"": ""Default"",
  ""canonical"": ""default"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""In SLURM, 'Default' is a configuration parameter used to set or modify the default value for various entities, such as user accounts or options."",
  ""aliases"": []
}"
992,default allocation,default allocation,slurm,queue_or_partition,"Default allocation refers to the method Slurm uses for allocating resources to jobs in exclusive mode, where each job is assigned a dedicated set of resources.",1,1,1,[],"{
  ""term"": ""default allocation"",
  ""canonical"": ""default allocation"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""queue_or_partition"",
  ""short_definition"": ""Default allocation refers to the method Slurm uses for allocating resources to jobs in exclusive mode, where each job is assigned a dedicated set of resources."",
  ""aliases"": []
}"
993,default binding,default binding,slurm,config_param,"Default binding in SLURM refers to the automatic assignment of tasks to resources (e.g., cores, sockets, NUMA) based on configuration parameters in slurm.conf.",1,1,1,[],"{
  ""term"": ""default binding"",
  ""canonical"": ""default binding"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""Default binding in SLURM refers to the automatic assignment of tasks to resources (e.g., cores, sockets, NUMA) based on configuration parameters in slurm.conf."",
  ""aliases"": []
}"
994,default configuration directory,default configuration directory,generic,config_file,"The default configuration directory is a filesystem location where SLURM plugin files, such as cli_filter.lua, are typically stored.",1,1,1,[],"{
  ""term"": ""default configuration directory"",
  ""canonical"": ""default configuration directory"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""config_file"",
  ""short_definition"": ""The default configuration directory is a filesystem location where SLURM plugin files, such as cli_filter.lua, are typically stored."",
  ""aliases"": []
}"
995,default key,default key,generic,config_param,The 'default key' is a configuration parameter used to specify the default key for authentication in SLURM.,1,1,1,[],"{
  ""term"": ""default key"",
  ""canonical"": ""default key"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""config_param"",
  ""short_definition"": ""The 'default key' is a configuration parameter used to specify the default key for authentication in SLURM."",
  ""aliases"": []
}"
996,default node allocation,Default Node Allocation,slurm,queue_or_partition,Default Node Allocation refers to a scheduling mode in SLURM where jobs are allocated exclusive access to nodes for optimal parallel performance.,1,1,1,[],"{
  ""term"": ""Default Node Allocation"",
  ""canonical"": ""default node allocation"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""queue_or_partition"",
  ""short_definition"": ""Default Node Allocation refers to a scheduling mode in SLURM where jobs are allocated exclusive access to nodes for optimal parallel performance."",
  ""aliases"": []
}"
997,default node allocation plugin,default node allocation plug-in,slurm,other_hpc,"The default node allocation plug-in in SLURM allocates nodes to jobs in exclusive mode, preventing other jobs from accessing unused resources on the same node.",1,1,1,[],"{
  ""term"": ""default node allocation plug-in"",
  ""canonical"": ""default node allocation plugin"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""The default node allocation plug-in in SLURM allocates nodes to jobs in exclusive mode, preventing other jobs from accessing unused resources on the same node."",
  ""aliases"": []
}"
998,default output file format,default output file format,slurm,config_param,"The default output file format for a job array in SLURM is 'slurm-%A_%a.out', where %A and %a are replaced by the job and task IDs, respectively.",1,1,1,[],"{
  ""term"": ""default output file format"",
  ""canonical"": ""default output file format"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""The default output file format for a job array in SLURM is 'slurm-%A_%a.out', where %A and %a are replaced by the job and task IDs, respectively."",
  ""aliases"": []
}"
999,default partition,default partition,slurm,queue_or_partition,The default partition is a queue or partition in SLURM where jobs are submitted when no specific partition is specified.,1,3,2,[],"{
  ""term"": ""default partition"",
  ""canonical"": ""default partition"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""queue_or_partition"",
  ""short_definition"": ""The default partition is a queue or partition in SLURM where jobs are submitted when no specific partition is specified."",
  ""aliases"": []
}"
1000,default script directory,default script directory,generic,other_hpc,The default script directory is a location where the Slurm cli_filter plugin's 'cli_filter.lua' script is typically found (usually in the 'etc' subdirectory of the installation directory).,1,1,1,[],"{
  ""term"": ""default script directory"",
  ""canonical"": ""default script directory"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""The default script directory is a location where the Slurm cli_filter plugin's 'cli_filter.lua' script is typically found (usually in the 'etc' subdirectory of the installation directory)."",
  ""aliases"": []
}"
1001,default select/cons_tres,default select/cons_tres plugin,slurm,config_param,"The default select/cons_tres plugin is a configuration parameter in SLURM that determines the resource selection and over-subscription behavior for consumable resources like cores, sockets, or CPUs.",1,1,1,[],"{
  ""term"": ""default select/cons_tres plugin"",
  ""canonical"": ""default select/cons_tres"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""The default select/cons_tres plugin is a configuration parameter in SLURM that determines the resource selection and over-subscription behavior for consumable resources like cores, sockets, or CPUs."",
  ""aliases"": []
}"
1002,default setting,default setting,generic,config_param,"The default setting is a configuration parameter that defines the initial value for a scheduler option, such as job priority or resource allocation.",1,1,1,[],"{
  ""term"": ""default setting"",
  ""canonical"": ""default setting"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""config_param"",
  ""short_definition"": ""The default setting is a configuration parameter that defines the initial value for a scheduler option, such as job priority or resource allocation."",
  ""aliases"": []
}"
1003,default time limit,default time limit,both,config_param,"The default time limit is a scheduler configuration parameter that sets the maximum runtime for jobs in a partition, unless explicitly overridden by individual job submissions.",1,1,1,[],"{
  ""term"": ""default time limit"",
  ""canonical"": ""default time limit"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""config_param"",
  ""short_definition"": ""The default time limit is a scheduler configuration parameter that sets the maximum runtime for jobs in a partition, unless explicitly overridden by individual job submissions."",
  ""aliases"": []
}"
1004,default value,default value,slurm,config_param,The default value is a configuration parameter used in SLURM to specify the default MCS label for jobs when a user does not explicitly request one.,1,2,2,[],"{
  ""term"": ""default value"",
  ""canonical"": ""default value"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""The default value is a configuration parameter used in SLURM to specify the default MCS label for jobs when a user does not explicitly request one."",
  ""aliases"": []
}"
1005,default-runtime,default-runtime,slurm,config_param,"The 'default-runtime' configuration parameter specifies the default OCI runtime (e.g., scrun) for Docker containers in a rootless Docker setup when using SLURM.",1,1,1,[],"{
  ""term"": ""default-runtime"",
  ""canonical"": ""default-runtime"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""The 'default-runtime' configuration parameter specifies the default OCI runtime (e.g., scrun) for Docker containers in a rootless Docker setup when using SLURM."",
  ""aliases"": []
}"
1006,default_account,default_account,slurm,config_param,The default_account query parameter in SLURM's API allows specifying a comma-separated list of default accounts for the user list request.,1,1,1,[],"{
  ""term"": ""default_account"",
  ""canonical"": ""default_account"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""The default_account query parameter in SLURM's API allows specifying a comma-separated list of default accounts for the user list request."",
  ""aliases"": []
}"
1007,default_memory_per_node,default_memory_per_node,generic,config_param,default_memory_per_node is a configuration parameter that sets the default memory allocation per node for job submissions.,1,1,1,[],"{
  ""term"": ""default_memory_per_node"",
  ""canonical"": ""default_memory_per_node"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""config_param"",
  ""short_definition"": ""default_memory_per_node is a configuration parameter that sets the default memory allocation per node for job submissions."",
  ""aliases"": []
}"
1008,default_qos,default_qos,slurm,queue_or_partition,default_qos is a query parameter in SLURM's API for filtering job associations by default Quality of Service (QoS) settings.,1,4,1,[],"{
  ""term"": ""default_qos"",
  ""canonical"": ""default_qos"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""queue_or_partition"",
  ""short_definition"": ""default_qos is a query parameter in SLURM's API for filtering job associations by default Quality of Service (QoS) settings."",
  ""aliases"": []
}"
1009,default_queue_depth,default_queue_depth,slurm,config_param,default_queue_depth is a configuration parameter in SLURM that specifies the number of jobs to consider for scheduling during event-triggered scheduling events. The default value is 100 jobs.,1,2,2,[],"{
  ""term"": ""default_queue_depth"",
  ""canonical"": ""default_queue_depth"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""default_queue_depth is a configuration parameter in SLURM that specifies the number of jobs to consider for scheduling during event-triggered scheduling events. The default value is 100 jobs."",
  ""aliases"": []
}"
1010,defaultaccount,DefaultAccount,slurm,queue_or_partition,DefaultAccount is a SLURM partition or account that a user is assigned to when they do not specify a specific account in the job submission command.,1,2,1,[],"{
  ""term"": ""DefaultAccount"",
  ""canonical"": ""defaultaccount"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""queue_or_partition"",
  ""short_definition"": ""DefaultAccount is a SLURM partition or account that a user is assigned to when they do not specify a specific account in the job submission command."",
  ""aliases"": []
}"
1011,defaultmcdram,DefaultMCDRAM,slurm,config_param,DefaultMCDRAM is a configuration parameter in SLURM that sets the default MCDRAM mode for compute nodes using the syscfg program.,1,1,1,[],"{
  ""term"": ""DefaultMCDRAM"",
  ""canonical"": ""defaultmcdram"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DefaultMCDRAM is a configuration parameter in SLURM that sets the default MCDRAM mode for compute nodes using the syscfg program."",
  ""aliases"": []
}"
1012,defaultnuma,DefaultNUMA,slurm,config_param,DefaultNUMA is a configuration parameter in SLURM that sets the default NUMA (Non-Uniform Memory Access) mode for compute nodes.,1,1,1,[],"{
  ""term"": ""DefaultNUMA"",
  ""canonical"": ""defaultnuma"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DefaultNUMA is a configuration parameter in SLURM that sets the default NUMA (Non-Uniform Memory Access) mode for compute nodes."",
  ""aliases"": []
}"
1013,defaultpool,DefaultPool,both,queue_or_partition,DefaultPool is a predefined queue or partition used by the Burst Buffer plugin in SLURM and LSF for managing storage resources.,1,3,1,[],"{
  ""term"": ""DefaultPool"",
  ""canonical"": ""defaultpool"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""queue_or_partition"",
  ""short_definition"": ""DefaultPool is a predefined queue or partition used by the Burst Buffer plugin in SLURM and LSF for managing storage resources."",
  ""aliases"": []
}"
1014,defaults,defaults,slurm,config_param,"In SLURM, 'defaults' refers to a configuration parameter or plugin type that sets default values for job submission or modifies requests.",1,1,1,[],"{
  ""term"": ""defaults"",
  ""canonical"": ""defaults"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""In SLURM, 'defaults' refers to a configuration parameter or plugin type that sets default values for job submission or modifies requests."",
  ""aliases"": []
}"
1015,default time,DefaultTime,slurm,config_param,DefaultTime is a SLURM configuration parameter that specifies the default job time limit for each partition.,1,1,1,[],"{
  ""term"": ""DefaultTime"",
  ""canonical"": ""default time"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DefaultTime is a SLURM configuration parameter that specifies the default job time limit for each partition."",
  ""aliases"": []
}"
1016,defaultwckkey,DefaultWCKey,slurm,config_param,DefaultWCKey is a configuration parameter in SLURM that sets the default wckey for a user when no wckey is specified when a job is submitted.,1,2,2,[],"{
  ""term"": ""DefaultWCKey"",
  ""canonical"": ""defaultwckkey"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DefaultWCKey is a configuration parameter in SLURM that sets the default wckey for a user when no wckey is specified when a job is submitted."",
  ""aliases"": []
}"
1017,defer,defer,both,config_param,"The defer option is a scheduling parameter that delays the initiation of individual jobs to allow multiple jobs to accumulate and be scheduled at once, potentially improving system responsiveness when large numbers of jobs are submitted simultaneously.",1,2,2,[],"{
  ""term"": ""defer"",
  ""canonical"": ""defer"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""config_param"",
  ""short_definition"": ""The defer option is a scheduling parameter that delays the initiation of individual jobs to allow multiple jobs to accumulate and be scheduled at once, potentially improving system responsiveness when large numbers of jobs are submitted simultaneously."",
  ""aliases"": []
}"
1018,defer_batch,defer_batch,both,config_param,"defer_batch is a scheduler configuration parameter that delays the initiation of batch jobs to allow multiple jobs to accumulate and be scheduled at once, while allowing interactive jobs to start immediately.",1,1,1,[],"{
  ""term"": ""defer_batch"",
  ""canonical"": ""defer_batch"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""config_param"",
  ""short_definition"": ""defer_batch is a scheduler configuration parameter that delays the initiation of batch jobs to allow multiple jobs to accumulate and be scheduled at once, while allowing interactive jobs to start immediately."",
  ""aliases"": []
}"
1019,defined cluster,defined cluster,both,queue_or_partition,"A defined cluster is a named collection of resources (e.g., compute nodes, partitions) in an HPC system, which can be specified when submitting jobs using SLURM or LSF.",1,1,1,[],"{
  ""term"": ""defined cluster"",
  ""canonical"": ""defined cluster"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""queue_or_partition"",
  ""short_definition"": ""A defined cluster is a named collection of resources (e.g., compute nodes, partitions) in an HPC system, which can be specified when submitting jobs using SLURM or LSF."",
  ""aliases"": []
}"
1020,defmempercpu,DefMemPerCPU,slurm,config_param,"DefMemPerCPU is a Slurm configuration parameter that sets the default memory per CPU for allocated resources, helping to prevent memory page swapping and ensuring that jobs can fit into memory for gang scheduling.",1,3,3,[],"{
  ""term"": ""DefMemPerCPU"",
  ""canonical"": ""defmempercpu"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DefMemPerCPU is a Slurm configuration parameter that sets the default memory per CPU for allocated resources, helping to prevent memory page swapping and ensuring that jobs can fit into memory for gang scheduling."",
  ""aliases"": []
}"
1021,defmempergpu,DefMemPerGPU,both,resource,DefMemPerGPU is the default amount of memory allocated per GPU in a job allocation for both SLURM and IBM LSF.,1,1,1,[],"{
  ""term"": ""DefMemPerGPU"",
  ""canonical"": ""defmempergpu"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""resource"",
  ""short_definition"": ""DefMemPerGPU is the default amount of memory allocated per GPU in a job allocation for both SLURM and IBM LSF."",
  ""aliases"": []
}"
1022,defmempernode,DefMemPerNode,slurm,config_param,DefMemPerNode is a configuration parameter in SLURM that defines the default amount of real memory per node.,1,4,4,[],"{
  ""term"": ""DefMemPerNode"",
  ""canonical"": ""defmempernode"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DefMemPerNode is a configuration parameter in SLURM that defines the default amount of real memory per node."",
  ""aliases"": []
}"
1023,delays,delays,both,other_hpc,"Delays refer to time spent in plugin functions for tasks such as transactions with other systems, which should be handled in separate threads to maintain performance.",1,1,1,[],"{
  ""term"": ""delays"",
  ""canonical"": ""delays"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""Delays refer to time spent in plugin functions for tasks such as transactions with other systems, which should be handled in separate threads to maintain performance."",
  ""aliases"": []
}"
